29,6,"DL 7CP 5931",,,"2020-06-14 14:38:49.505",,,"",,"Galaxy Grey","",,1,,1,,1,,,1,,"Hyundai","i10","1.2 kappa Magna","Petrol","",0
30,28,"DL 7CH 54",,,"2020-06-14 16:21:36.394",,,,2008,"Silver",,,1,,1,,1,,,1,,"Suzuki","Wagon R type2",,,,0
31,28,"DL 7CH 5488",,,"2020-06-15 10:38:27.989",,,,,,,"2020-12-22 10:39:16.969",0,,1,,1,120000,,1,,"Suzuki","Wagon R type2",,"Petrol",,0
32,27,"HR 51BR 0735",,,"2020-06-15 13:10:12.525",,,"L15Z15318876",2017,"White Orcahrd Pearl","","2021-03-08 00:00:00.0",1,,1,"2021-03-08 00:00:00.0",1,42552,,1,,"Honda","city","1.5 Ivtec","Petrol","MAKGM669GH4304J02",0
33,29,"DL 3CAP 9224",,,"2020-06-15 17:43:29.297",,,"",,"Silver",,,1,,1,,1,,,1,,"Hyundai","Santro Zing","1.3","Petrol","",0
34,30,"DL 7CP 5931",,,"2020-06-17 12:50:00.837",,,"G4HGDM748778",2016,"Star Dust","",,0,,1,,1,29000,,1,,"Hyundai","i10","1.1","Petrol","MALAM51BLDM513847",0
35,31,"UP 65BW 6515",,,"2020-06-17 15:31:28.376",,,"",,"","",,1,,1,,1,,,1,,"Mahindra","SUV 500","","Diesel","",0
36,32,"HR 80 6507",,,"2020-06-17 18:37:49.861",,,,,"White",,,1,,1,,1,,,1,,"Mahindra","Scorpio",,"Diesel",,0
37,33,"DL 1CA 4212",,,"2020-06-18 13:13:37.057",,,"D029088",2013,"black","","2023-12-28 00:00:00.0",0,,1,"2023-12-28 00:00:00.0",0,72800,,1,,"Renault","Dustur",,"Diesel","MEEHSRA3607029000",0
38,36,"Honda Civic gaurav wahal",,,"2020-06-18 18:05:20.625",,,,,,,,1,,1,,1,0,,1,,"Honda","Civic",,"Petrol",,0
39,37,"DL 12CG 8340",,,"2020-06-19 10:52:51.211",,,,2014,,,,1,,1,,1,0,,1,,"Hyundai","i20","D4D","Diesel",,0
40,39,"DL 10CF 3139",,,"2020-06-19 13:33:10.998",,,,,,,,1,,1,,1,0,,1,,"Ford","Ecosport","1.5 Diesel duratech","Diesel",,0
41,40,"PB 11BZ 8001",,,"2020-06-22 20:21:07.18",,,"D4FBGM093682",2016,"grey","","2023-04-01 00:00:00.0",1,,1,"2023-04-01 15:42:11.956",1,47800,,1,"Amaron AAM -FL- 0BH90D23L ACG2532Y124617","Hyundai","Creata",,"Diesel","MALC381ULGM105448",0
42,6,"DL 8CZ 9889",,,"2020-06-24 14:21:15.19",,,"15798460037656",2013,"C WHITE","HDFC ERGO",,1,,1,,1,0,,1,,"Mercedes Benz","G Wagon G63","AMG 63","Petrol","WDB4632722X216221",0
43,41,"1997",,,"2020-06-24 14:53:34.768",,,,,,,,1,,1,,1,0,,1,,"Suzuki","Estillo","","Petrol",,0
44,43,"DL 10CF 7815",,,"2020-06-24 17:55:00.242",,,"",2014,"black","",,1,,1,"2022-05-28 00:00:00.0",1,87284,,1,,"Ford","Eco Sports","D4D","Diesel","",0
45,45,"DL 1CQ 7558",,,"2020-06-25 12:20:55.715",,,"",,"Maroon Red",,,1,,1,,1,0,,1,,"Fiat","Punto","1.4 TD","Diesel","",0
46,47,"DL 3CBU 4600",,,"2020-06-25 12:34:38.362",,,,2011,"black",,,1,,1,,1,0,,1,,"Toyota","Fortunner","D4D","Diesel",,0
47,48,"DL 3CAW 3753",,,"2020-06-25 17:27:27.007",,,"",2008,"black",,"2021-04-28 00:00:00.0",1,,1,"2021-04-28 00:00:00.0",1,98000,,1,,"Suzuki","SX 4","1.6","Petrol","",0
48,50,"DL 2CAT 7080",,,"2020-06-26 18:01:32.711",,,,2015,"Silver","",,1,,1,,1,0,,1,,"Honda","city","1.5 Ivtec","Petrol","",0
49,54,"HR 06V 3520",,,"2020-06-28 13:30:46.986",,,,2015,"White","",,1,,1,,1,0,,1,,"Hyundai","i20","1.2 kappa Magna","Petrol",,0
50,55,"DL 2CAQ 4775",,,"2020-06-29 11:59:59.668",,,,,"Bronze",,,1,,1,,1,0,,1,,"Hyundai","i20","1.2 kappa Magna","Petrol",,0
51,56,"DL 4CNC 6174",,,"2020-06-29 12:03:00.947",,,"",,"grey","",,1,,1,,1,86000,,1,,"Honda","city","1.5 Ivtec","Petrol","",0
52,57,"DL 3CBM 2190",,,"2020-06-29 13:49:16.484",,,"",,"Silver",,,1,,1,,1,0,,1,,"Skoda","Superb 2","TSI ","Petrol","",0
53,58,"DL 3CBM 2735",,,"2020-07-01 12:14:00.011",,,,,"White","",,1,,1,,1,0,,1,,"Honda","CRV","2.0 automatic","Petrol",,0
54,59,"DL 12CK 7234",,,"2020-07-01 12:46:39.539",,,"",,"White","",,1,,1,,1,0,,1,,"Hyundai","Creata","1.3","Petrol","",0
55,60,"DL 7CG 9779",,,"2020-07-02 11:27:20.394",,,"",,"Galaxy Grey",,,1,,1,,1,0,,1,,"Toyota","INNOVA","D4D","Diesel","",0
56,61,"DL 8CAM 7322",,,"2020-07-02 13:37:53.15",,,"",,"White","","2026-06-01 00:00:00.0",1,"2022-01-01 00:00:00.0",0,"2026-06-22 00:00:00.0",1,61700,,1,,"Mercedes Benz","CLA 200","200 kompressor","Petrol","WDD173452N234069",0
57,64,"DL 8CAF 2838",,,"2020-07-02 18:20:32.909",,,,,"black",,"2022-01-15 18:59:45.772",0,,1,"2022-01-14 18:59:56.641",0,140200,,1,,"Hyundai","Elantra Fludic","1.6","Diesel","",0
58,65,"HP 63A 3278",,,"2020-07-03 10:13:28.582",,,"",,"grey",,,1,,1,,1,0,,1,,"Toyota","INNOVA","D4D","Diesel","",0
59,66,"DL 7CT 4905",,,"2020-07-04 14:41:52.408",,,,,,,,1,,1,,1,0,,1,,"Hyundai","i10","1.2 kappa Magna","Petrol",,0
60,67,"DL 12CB 2927",,,"2020-07-04 15:03:14.466",,,,,,,"2021-07-21 15:21:05.046",1,"2021-07-05 00:00:00.0",1,"2021-07-01 15:20:05.28",1,135000,"2021-12-31 15:20:36.381",1,,"Ford","Ecosport","1.3","Diesel",,0
