19,4,2,1,0,0,9,8,"WORKSHEET",,"2020-05-24 18:42:58.635",,1650.0000,0.0000,0,0.00000000,0,,0,1,,,"R134 and compressor Oil charging",,-1.0000,,"pcs",,,,,,0.0000,0.0000,0,1650.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-04 18:51:58.002",,
20,2,2,1,0,0,10,9,"WORKSHEET",,"2020-05-27 00:00:00.0",,3050.0000,0.0000,0,0.00000000,0,,0,1,,,"Condenssor",,-1.0000,,"pcs",,,,,,0.0000,0.0000,0,3050.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-04 18:56:10.375",,
21,9,2,1,0,0,11,10,"WORKSHEET",,"2020-06-01 00:00:00.0",,0.0000,0.0000,0,0.00000000,0,,0,1,,,"Valvoline synthetic oil 3.5ltr",,-1.0000,,"pcs",,,,,,1350.0000,0.0000,0,0.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-04 19:04:48.195",,
22,10,2,1,0,0,11,10,"WORKSHEET",,"2020-06-01 00:00:00.0",,0.0000,0.0000,0,0.00000000,0,,0,1,,,"oil filter",,-1.0000,,"pcs",,,,,,150.0000,0.0000,0,0.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-04 19:04:48.206",,
23,18,2,1,0,0,11,10,"WORKSHEET",,"2020-06-01 00:00:00.0",,0.0000,0.0000,0,0.00000000,0,,0,1,,,"air filter",,-1.0000,,"pcs",,,,,,250.0000,0.0000,0,0.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-04 19:04:48.229",,
24,19,2,1,0,0,11,10,"WORKSHEET",,"2020-06-01 00:00:00.0",,800.0000,0.0000,0,0.00000000,0,,0,1,,,"front break pads",,-1.0000,,"pcs",,,,,,0.0000,0.0000,0,800.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-04 19:04:48.249",,
25,12,2,1,0,0,11,10,"WORKSHEET",,"2020-06-01 00:00:00.0",,0.0000,0.0000,0,0.00000000,0,,0,1,,,"coolant",,-0.5000,,"pcs",,,,,,180.0000,0.0000,0,0.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-04 19:04:48.26",,
26,20,2,1,0,0,11,10,"WORKSHEET",,"2020-06-01 00:00:00.0",,0.0000,0.0000,0,0.00000000,0,,0,1,,,"wiper blades",,-1.0000,,"pcs",,,,,,380.0000,0.0000,0,0.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-04 19:04:48.279",,
27,13,2,1,0,0,11,10,"WORKSHEET",,"2020-06-01 00:00:00.0",,0.0000,0.0000,0,0.00000000,0,,0,1,,,"break oil 100ml",,-1.0000,,"pcs",,,,,,110.0000,0.0000,0,0.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-04 19:04:48.287",,
28,21,2,1,0,0,11,10,"WORKSHEET",,"2020-06-01 00:00:00.0",,0.0000,0.0000,0,0.00000000,0,,0,1,,,"battery 44amps Amron",,-1.0000,,"pcs",,,,,,3450.0000,0.0000,0,0.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-04 19:04:48.308",,
29,10,2,1,0,0,12,11,"WORKSHEET",,"2020-06-05 00:00:00.0",,150.0000,0.0000,0,0.00000000,0,,0,1,,,"oil filter",,-1.0000,,"pcs",,,,,,150.0000,0.0000,0,150.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-06 18:24:19.24",,
30,9,2,1,0,0,12,11,"WORKSHEET",,"2020-06-05 00:00:00.0",,1790.0000,0.0000,0,0.00000000,0,,0,1,,,"Valvoline synthetic oil 3.5ltr",,-1.0000,,"pcs",,,,,,1350.0000,0.0000,0,1790.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-06 18:24:19.256",,
31,18,2,1,0,0,12,11,"WORKSHEET",,"2020-06-05 00:00:00.0",,250.0000,0.0000,0,0.00000000,0,,0,1,,,"air filter",,-1.0000,,"pcs",,,,,,250.0000,0.0000,0,250.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-06 18:24:19.256",,
32,22,2,1,0,0,12,11,"WORKSHEET",,"2020-06-05 00:00:00.0",,190.0000,0.0000,0,0.00000000,0,,0,1,,,"headlight Bulb",,-2.0000,,"pcs",,,,,,190.0000,0.0000,0,190.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-06 18:24:19.271",,
33,23,2,1,0,0,12,11,"WORKSHEET",,"2020-06-05 00:00:00.0",,360.0000,0.0000,0,0.00000000,0,,0,1,,,"foglamp bulb",,-1.0000,,"pcs",,,,,,0.0000,0.0000,0,360.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-06 18:24:19.302",,
34,12,2,1,0,0,12,11,"WORKSHEET",,"2020-06-05 00:00:00.0",,150.0000,0.0000,0,0.00000000,0,,0,1,,,"coolant",,-1.0000,,"pcs",,,,,,180.0000,0.0000,0,150.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-06 18:24:19.302",,
35,24,2,1,0,0,12,11,"WORKSHEET",,"2020-06-05 00:00:00.0",,1450.0000,0.0000,0,0.00000000,0,,0,1,,,"TailLamp",,-1.0000,,"pcs",,,,,,0.0000,0.0000,0,1450.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-06 18:24:19.318",,
36,25,2,1,0,0,12,11,"WORKSHEET",,"2020-06-05 00:00:00.0",,100.0000,0.0000,0,0.00000000,0,,0,1,,,"remote battery",,-1.0000,,"pcs",,,,,,0.0000,0.0000,0,100.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-06 18:24:19.334",,
37,20,2,1,0,0,15,14,"WORKSHEET",,"2020-03-12 10:56:39.821",,0.0000,0.0000,0,0.00000000,0,,0,1,,,"wiper blades",,-1.0000,,"pcs",,,,,,550.0000,0.0000,0,0.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-07 11:10:35.643",,
38,26,2,1,0,0,15,14,"WORKSHEET",,"2020-03-12 10:56:39.821",,900.0000,0.0000,0,0.00000000,0,,0,1,,,"Axel Seal",,-1.0000,,"pcs",,,,,,0.0000,0.0000,0,900.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-07 11:10:35.659",,
39,22,2,1,0,0,15,14,"WORKSHEET",,"2020-03-12 10:56:39.821",,170.0000,0.0000,0,0.00000000,0,,0,1,,,"headlight Bulb",,-1.0000,,"pcs",,,,,,190.0000,0.0000,0,170.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-07 11:10:35.674",,
40,19,2,1,0,0,17,16,"WORKSHEET",,"2020-06-07 12:43:55.022",,800.0000,0.0000,0,0.00000000,0,,0,1,,,"front break pads",,-1.0000,,"pcs",,,,,,0.0000,0.0000,0,800.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-07 12:56:39.371",,
41,27,2,1,0,0,17,16,"WORKSHEET",,"2020-06-07 12:43:55.022",,750.0000,0.0000,0,0.00000000,0,,0,1,,,"Rear break Shoes",,-1.0000,,"pcs",,,,,,0.0000,0.0000,0,750.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-07 12:56:39.402",,
42,28,2,1,0,0,17,16,"WORKSHEET",,"2020-06-07 12:43:55.022",,200.0000,0.0000,0,0.00000000,0,,0,1,,,"RC handle",,-1.0000,,"pcs",,,,,,0.0000,0.0000,0,200.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-07 12:56:39.418",,
43,29,2,1,0,0,17,21,"WORKSHEET",,"2020-06-07 18:30:15.957",,22500.0000,0.0000,0,0.00000000,0,,0,1,,,"Radiator Fan Assy motor",,-1.0000,,"pcs",,,,"20000738",,0.0000,0.0000,0,22500.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-07 18:34:43.865",,
44,30,2,1,0,0,21,22,"WORKSHEET",,"2020-06-08 18:39:21.533",,0.0000,0.0000,0,0.00000000,0,,0,1,,,"accuator assy",,-1.0000,,"pcs",,,,,,0.0000,0.0000,0,0.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-08 18:39:21.533",,
45,31,2,1,0,0,22,23,"WORKSHEET",,"2020-06-11 13:36:14.184",,600.0000,0.0000,0,0.00000000,0,,0,1,,,"footmats",,-1.0000,,"pcs",,,,,,700.0000,0.0000,0,600.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-11 13:36:14.184",,
46,32,2,1,0,0,23,24,"WORKSHEET",,"2020-06-11 13:36:35.712",,2250.0000,0.0000,0,-0.07000000,0,,0,1,,,"thermostate valve inlet pipe",,-1.0000,,"pcs",,,,"20000790",,1500.0000,0.0000,0,2250.0000,0.0000,0,-0.07000000,,,,0,,,"2020-06-11 13:46:37.699",,
47,33,2,1,0,0,25,26,"WORKSHEET",,"2020-06-12 16:28:45.732",,4000.0000,0.0000,0,0.00000000,0,,0,1,,,"evaporator Coil Assy front",,-1.0000,,"pcs",,,,,,0.0000,0.0000,0,4000.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-12 16:28:45.734",,
48,12,2,1,0,0,23,24,"WORKSHEET",,"2020-06-04 16:08:56.527",,220.0000,0.0000,0,-0.07000000,0,,0,1,,,"coolant",,-4.0000,,"pcs",,,,"20000820",,180.0000,0.0000,0,220.0000,0.0000,0,-0.07000000,,,,0,,,"2020-06-13 10:48:10.82",,
49,22,2,1,0,0,26,27,"WORKSHEET",,"2020-06-12 00:00:00.0",,190.0000,0.0000,0,0.00000000,0,,0,1,,,"headlight Bulb",,-1.0000,,"pcs",,,,,,190.0000,0.0000,0,190.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-13 10:54:10.718",,
50,12,2,1,0,0,26,27,"WORKSHEET",,"2020-06-12 00:00:00.0",,210.0000,0.0000,0,0.00000000,0,,0,1,,,"coolant",,-4.0000,,"pcs",,,,,,210.0000,0.0000,0,210.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-13 10:54:10.718",,
51,29,2,1,0,0,26,27,"WORKSHEET",,"2020-06-12 00:00:00.0",,6200.0000,0.0000,0,0.00000000,0,,0,1,,,"Radiator Fan Assy motor",,-1.0000,,"pcs",,,,,,6200.0000,0.0000,0,6200.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-13 10:54:10.733",,
52,12,2,1,0,0,27,28,"WORKSHEET",,"2020-06-04 16:08:56.527",,180.0000,0.0000,0,0.00000000,0,,0,1,,,"coolant",,-2.0000,,"pcs",,,,,,180.0000,0.0000,0,180.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-14 15:31:58.949",,
53,9,2,1,0,0,27,28,"WORKSHEET",,"2020-06-04 16:08:56.527",,1380.0000,0.0000,0,0.00000000,0,,0,1,,,"Valvoline synthetic oil 3.5ltr",,-1.0000,,"pcs",,,,,,1380.0000,0.0000,0,1380.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-14 15:31:58.966",,
54,10,2,1,0,0,27,28,"WORKSHEET",,"2020-06-04 16:08:56.527",,150.0000,0.0000,0,0.00000000,0,,0,1,,,"oil filter",,-1.0000,,"pcs",,,,,,150.0000,0.0000,0,150.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-14 15:31:58.981",,
55,18,2,1,0,0,27,28,"WORKSHEET",,"2020-06-01 00:00:00.0",,280.0000,0.0000,0,0.00000000,0,,0,1,,,"air filter",,-1.0000,,"pcs",,,,,,280.0000,0.0000,0,280.0000,0.0000,0,0.00000000,,,,0,,,"2020-06-14 15:31:58.997",,
